 'zoop_name','rotifer','cladoceran','copepod'
 'zoop_initial', 5, 5, 5
 'min_zoo', 10, 7, 7
 'Rgrz_zoo', 1.1, 1.1, 1.3
 'fassim_zoo', 0.9, 1, 1
 'Kgrz_zoo', 3, 2, 20
 'theta_grz_zoo', 1.08, 1.08, 1.08
 'Rresp_zoo', 0.03, 0.01, 0.06
 'Rmort_zoo', 0.01, 0.03, 0.08
 'ffecal_zoo', 0.2, 0.2, 0.2
 'fexcr_zoo', 0.7, 0.7, 0.7
 'ffecal_sed', 0.15, 0.15, 0.15
 'theta_resp_zoo', 1.03, 1.09, 1.02
 'Topt_zoo', 18, 14, 5
 'Tmax_zoo', 31, 30, 25
 'saltfunc_zoo', 1, 1, 1
 'Smin_zoo', 0, 0, 0
 'Smax_zoo', 35, 35, 35
 'Sint_zoo', 10, 10, 10
 'INC_zoo', 0.2, 0.2, 0.2
 'IPC_zoo', 0.01, 0.01, 0.01
 'DOmin_zoo', 3, 3, 3
 'Cmin_grz_zoo', 17, 17, 14
 'num_prey', 3, 3, 3
 'prey(1)%zoop_prey', 'PHY_green', 'PHY_green', 'ZOO_rotifer'
 'prey(1)%Pzoo_prey', 0.1, 0.5, 0.5
 'prey(2)%zoop_prey', 'OGM_poc', 'PHY_diatom', 'ZOO_cladoceran'
 'prey(2)%Pzoo_prey', 0.8, 0.3, 0.4
 'prey(3)%zoop_prey', 'PHY_diatom', 'OGM_poc', 'OGM_poc'
 'prey(3)%Pzoo_prey', 0.1, 0.2, 0.1
